title,author,new_author,genre,sub_genre,age_range,rating,publication_year,format,page_count,audio_length,word_count,start_date,end_date,days_to_read,publisher,imprint,author_gender,author_bipoc,tags,standalone,series_start,series_continued,series_finished,queer_characters,queer_rep,cry,review,arc,re_read,subscription,month_read,recommended_by,is_gifted,physical_own,acquired_from
The Last Murder at the End of the World,Stuart Turton,FALSE,Mystery/Thriller,Science Fiction,Adult,4,2024,Hardcover,354,,,31-Dec,1-Jan,2,Penguin Random House,Sourcebooks Landmark,Male,,,Standalone,,,,No,,,,,,,January,,No,TRUE,Erica
The Will of the Many,James Islington,TRUE,Fantasy,,Adult,4.5,2023,Hardcover,630,,,1-Jan,3-Jan,3,Penguin Random House,Saga,Male,,,,Series Start,,,No,,,,,,,January,,No,TRUE,
"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing",Emily Lynn Paulson,TRUE,Non-Fiction,Memoir,Adult,3.5,2023,"Hardcover, Audiobook",384,10:58:00,,3-Jan,4-Jan,2,Independent,Row House,Female,,,Standalone,,,,No,,,,,,,January,,,TRUE,
Open Throat,Henry Hoke,TRUE,Fiction,Speculative Fiction,Adult,4.25,2023,Hardcover,160,,,4-Jan,4-Jan,1,Macmillan,"Farrar, Straus & Giroux",Male,,,Standalone,,,,Yes - Main & Side,,,,,,,January,,,TRUE,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,TRUE,Fantasy,,Adult,4.5,1979,Paperback,216,,,5-Jan,6-Jan,2,Penguin Random House,Del Rey,Male,,,,Series Start,,,No,,,,,,,January,,,TRUE,
Wandering Stars,Tommy Orange,FALSE,Fiction,,Adult,4,2024,"Paperback, Audiobook",336,9:37:00,,30-Dec,7-Jan,9,Penguin Random House,Knopf,Male,YES,,,,,Series Finished,Yes - Side,,,,,,,January,,,TRUE,
Murder on the Orient Express,Agatha Christie,TRUE,Mystery/Thriller,,Adult,4,1934,"Paperback, Audiobook",288,6:13:00,,8-Jan,9-Jan,2,HarperCollins,,Female,,,Standalone,,,,No,,,,,,,January,,,TRUE,
The Hobbit,JRR Tolkien,FALSE,Fantasy,,Adult,4.5,1937,"Paperback, Audiobook",306,10:25:00,,9-Jan,11-Jan,3,Penguin Random House,Ballantine Books,Male,,,Standalone,,,,No,,Yes,,,,,January,,,TRUE,
Family Meal,Bryan Washington,TRUE,Fiction,,Adult,2.5,2023,Paperback,368,,,11-Jan,11-Jan,1,Penguin Random House,Riverhead Books,Male,YES,,Standalone,,,,Yes - Main & Side,,,,,,,January,,,TRUE,
Mistborn,Brandon Sanderson,FALSE,Fantasy,,Adult,4,2006,"Paperback, Audiobook",647,24:40:00,,11-Jan,17-Jan,7,Macmillan,Tor,Male,,,,Series Start,,,No,,,,,,,January,,,TRUE,
Acceptance,Jeff VanderMeer,FALSE,Sci-Fi,Dystopian,Adult,4,2014,"Paperback, Audiobook",368,9:55:00,,11-Jan,20-Jan,10,Macmillan,"Farrar, Straus & Giroux",Male,,,,,Series Continued,,Yes - Side,,,,,,,January,,,TRUE,
Mad Ship,Robin Hobb,FALSE,Fantasy,,Adult,4.5,2010,"Paperback, Audiobook",854,33:57:00,,18-Jan,25-Jan,8,HarperCollins,Harper Voyager,Female,,,,,Series Continued,,Yes - Side,,,,,,,January,,,TRUE,
Anxious People,Fredrik Backman,FALSE,Fiction,,Adult,4,2019,Hardcover,341,,,25-Jan,26-Jan,2,Simon & Schuster,Atria Books (Kohlberg Kravis Roberts),Male,,,Standalone,,,,Yes - Main,,Yes,,,,,January,,,TRUE,
The Reappearance of Rachel Price,Holly Jackson,FALSE,Mystery/Thriller,,Young Adult,3.25,2024,"Hardcover, e-book",448,,,26-Jan,28-Jan,3,Penguin Random House,Delacorte Press,Female,,,Standalone,,,,No,,,,,,,January,,,TRUE,
Onyx Storm,Rebecca Yarros,FALSE,Fantasy,Romance,New Adult,2.5,2025,e-book,779,,,28-Jan,1-Feb,5,Independent,Entangled Publishing,Female,,,,,Series Continued,,Yes - Side,,,,,,,February,,,TRUE,
The Mothers,Brit Bennett,FALSE,Fiction,,Adult,3.5,2016,"Paperback, Audiobook",278,9:55:00,,30-Jan,1-Feb,3,Penguin Random House,Riverhead Books,Female,YES,,Standalone,,,,Yes - Side,,,,,,,February,,,TRUE,
The Murder of Roger Ackroyd,Agatha Christie,FALSE,Mystery/Thriller,,Adult,3.5,1926,Paperback,288,,,1-Feb,2-Feb,2,Penguin Random House,Vintage,Female,,,Standalone,,,,No,,,,,,,February,,,TRUE,
The Obelisk Gate,N.K. Jemisin,FALSE,Fantasy,,Adult,5,2016,Paperback,433,,,2-Feb,4-Feb,3,Hachette Book Group,Orbit,Female,YES,,,,Series Continued,,Yes - Side,,,,,,,February,,,TRUE,
The Heaven & Earth Grocery Store,James McBride,TRUE,Fiction,,Adult,4.5,2023,e-book,400,,,4-Feb,6-Feb,3,Penguin Random House,Riverhead Books,Male,YES,,Standalone,,,,No,,Yes,,,,,February,,,TRUE,Anthony
Giovanni's Room,James Baldwin,TRUE,Fiction,Classics,Adult,4.5,1956,Paperback,169,,,6-Feb,7-Feb,2,Penguin Random House,Vintage,Male,YES,,Standalone,,,,Yes - Main,,,,,,,February,,,TRUE,
The Three-Body Problem,Cixin Liu,TRUE,Sci-Fi,,Adult,4,2006,Paperback,434,,,7-Feb,12-Feb,6,Independent,Head of Zeus,Male,YES,,,Series Start,,,No,,,,,,,February,,,TRUE,Carl
All the Sinners Bleed,S.A. Cosby,TRUE,Mystery/Thriller,,Adult,5,2023,Audiobook,,13:05:00,,9-Feb,14-Feb,6,Macmillan,Flatiron Books,Male,YES,,Standalone,,,,No,,,,,,,February,,,TRUE,
"Girl, Woman, Other",Bernadine Evaristo,TRUE,Fiction,,Adult,4.25,2019,Paperback,453,,,13-Feb,16-Feb,4,Penguin Random House,Hamish Hamilton,Female,YES,,Standalone,,,,Yes - Main & Side,,,,,,,February,,,TRUE,
My Murder,Katie Williams,TRUE,Sci-Fi,Dystopian,Adult,4.5,2023,e-book,304,,,18-Feb,20-Feb,3,Penguin Random House,Riverhead Books,Female,,,Standalone,,,,Yes - Side,,,,,,,February,,,TRUE,
The Pairing,Casey McQuiston,TRUE,Romance,,New Adult,3,2024,Paperback,411,,,16-Feb,22-Feb,7,Macmillan,St. Martin's Press,Non-Binary,,,Standalone,,,,Yes - Main,,,,,,,February,,,TRUE,
The Vacationers,Emma Straub,TRUE,Fiction,,Adult,3.5,2014,Paperback,320,,,20-Feb,25-Feb,6,Penguin Random House,Riverhead Books,Female,,,Standalone,,,,Yes - Main & Side,,,,,,,February,,,TRUE,Green Apple Books Blind Date
Whalefall,Daniel Kraus,TRUE,Fiction,,Adult,3.5,2023,"Paperback, e-book, Audiobook",319,8:09:00,,25-Feb,28-Feb,4,Independent,MTV Books,Male,,,Standalone,,,,No,,,,,,,February,,,TRUE,
Record of a Spaceborn Few,Becky Chambers,FALSE,Sci-Fi,,Adult,5,2023,Paperback,359,,,21-Feb,3-Mar,11,HarperCollins,Harper Voyager,Female,,,,,Series Continued,,Yes - Main & Side,,Yes,,,,,March,,,TRUE,
A Little Devil in America,Hanif Abdurraqib,TRUE,Non-Fiction,,Adult,3.25,2021,"Hardcover, Audiobook",312,9:39:00,,1-Mar,15-Mar,15,Penguin Random House,Random House,Male,YES,,Standalone,,,,No,,,,,,,March,,,TRUE,
The Sunlit Man,Brandon Sanderson,FALSE,Fantasy,,Adult,4.25,2023,"Paperback, e-book",400,,,6-Mar,8-Mar,3,Macmillan,Tor,Male,,,Standalone,,,,No,,,,,,,March,,,TRUE,Green Apple Books Airport
Nothing to See Here,Kevin Wilson,TRUE,Fiction,Speculative,Adult,4.5,2019,Audiobook,312,6:41:00,,4-Mar,9-Mar,6,HarperCollins,Harper Audio,Male,,,Standalone,,,,Yes - Main & Side,,,,,,,March,,,TRUE,
The Road to Roswell,Connie Willis,TRUE,Sci-Fi,,Adult,3.5,2023,"Paperback, Audiobook",399,14:01:00,,10-Mar,16-Mar,7,Penguin Random House,Del Rey,Female,,,Standalone,,,,No,,,,,,,March,,,TRUE,
The Lost World,Michael Crichton,FALSE,Sci-Fi,,Adult,3.5,1995,Paperback,430,,,17-Mar,21-Mar,5,Penguin Random House,Knopf,Male,,,,,Series Continued,,No,,,,,,,March,,,TRUE,
